,id,value_increased,Positions,Passing Rating,Speed Rating,Physical Rating,Game Intelligence Rating
1,83969,False,GK,24.0,40.0,68.2,47.24
4,77969,False,GK,20.0,50.0,56.35,37.76
18,12693,False,GK,18.0,40.0,55.4,39.12
49,95616,False,GK,24.0,42.5,67.05,49.88
65,93879,False,GK,30.0,46.25,63.8,45.18
102,33959,False,GK,24.0,50.0,73.2,58.18
110,99789,False,GK,18.0,40.0,54.0,37.65
114,43159,False,GK,16.0,42.5,75.8,46.82
166,96672,False,GK,20.0,43.75,67.0,41.35
214,92750,False,GK,14.0,38.75,57.0,34.41
240,92844,False,GK,22.0,45.0,67.65,36.18
247,67458,False,GK,22.0,40.0,58.8,38.88
255,15311,False,GK,14.0,48.75,78.75,49.82
256,80588,False,GK,18.0,32.5,78.1,41.82
265,92745,False,GK,12.0,42.5,80.95,48.35
267,26779,False,GK,18.0,38.75,58.1,36.29
279,13051,False,GK,22.0,43.75,68.4,50.0
282,70713,False,GK,18.0,32.5,52.3,37.94
297,52918,False,GK,26.0,42.5,65.25,44.29
331,62638,False,GK,12.0,47.5,56.75,37.24
334,75725,False,GK,24.0,37.5,68.9,47.76
346,64886,False,GK,24.0,46.25,74.1,48.12
349,87575,False,GK,12.0,47.5,58.3,30.53
376,35945,True,GK,20.0,35.0,63.7,39.47
391,61991,True,GK,10.0,45.0,56.05,40.24
394,98614,False,GK,14.0,38.75,60.8,35.88
420,31834,False,GK,22.0,38.75,49.1,35.88
429,78840,True,GK,12.0,50.0,62.4,40.24
431,12368,False,GK,24.0,42.5,79.75,56.76
434,80313,False,GK,18.0,38.75,65.2,49.06
445,14014,False,GK,26.0,43.75,64.3,38.0
449,66491,True,GK,22.0,47.5,54.2,33.41
